Injury,State,FireDeptID,Month,Day,Year,IncidentNumber,IncidentType,AddressIsWildland,AidGivenOrReceived,TimeNotified,TimeArrived,ShiftCoveringIncident,Alarms,District,ActionTaken1,ActionTaken2,ActionTaken3,ApparatusUsed,SuppressionApparatus,EMSApparatus,OtherApparatus,SuppressionPersonnel,EMSPersonnel,OtherPersonnel,MutualAid,PropertyUseCode,Address,ZipCode
0,NE,01001,1,02,1999,0000001,410,N,N,1109,1116,,1,BEN,41,,,N,0,0,1,7,0,0,N,571,15625 C. W. HADAN DR,68007
0,NE,01001,1,09,1999,0000002,130,N,N,0828,0839,,1,RFD,11,,,N,1,0,4,10,0,0,N,961,13500 BLAIR HIGH ROAD,68007
0,NE,01001,1,16,1999,0000004,110,N,1,1340,1345,,1,BEN,11,,,N,1,0,2,10,0,0,N,429,117 N MOLLEY ST.,68007
0,NE,01001,1,26,1999,0000006,300,N,N,2032,2032,,1,BEN,34,,,N,0,0,1,2,0,0,N,215,11620 N 156TH ST.,68007
0,NE,01001,1,31,1999,0000005,400,N,N,1715,1716,,1,RFD,86,,,N,0,0,1,11,0,0,N,419,105 S ALLEN ST,68007
0,NE,01001,2,03,1999,0000007,300,N,N,0516,0525,,1,BEN,34,,,N,0,0,1,2,0,0,N,429,203 1/ N STARK ST.,68007
0,NE,01001,2,11,1999,0000009,130,N,N,1243,1255,,1,RFD,11,,,N,1,0,1,6,0,0,N,919,14320 N 216TH ST.,68007
0,NE,01001,2,23,1999,0000010,300,N,N,1709,1709,,1,BEN,22,31,,N,0,0,1,2,0,0,N,419,222 N STARK ST.,68007
0,NE,01001,3,01,1999,0000013,400,N,N,0025,0038,,1,RFD,86,,,N,1,0,1,7,0,0,N,419,14304 N 168TH ST,68007
0,NE,01001,3,06,1999,0000011,300,N,N,0930,0933,,1,RFD,34,,,N,0,0,2,3,0,0,N,419,15450 MILITARY ROAD,68007
0,NE,01001,3,16,1999,0000015,300,N,N,2041,2045,,1,BEN,34,,,N,0,0,1,3,0,0,N,419,109 N MOLLEY ST.,68007
0,NE,01001,3,20,1999,0000016,140,N,N,1718,1720,,,,11,,,N,0,0,0,0,0,0,N,931,N 132ND ST  & CENNTEN,68007
0,NE,01001,3,21,1999,0000017,300,N,N,1934,1940,,1,RFD,34,,,N,0,0,2,8,0,0,N,419,13814 FORT ST,68116
0,NE,01001,4,02,1999,0000019,140,N,N,1455,1504,,,,86,,,N,0,0,0,0,0,0,N,931,13300 ELLISON AVE,68164
0,NE,01001,4,06,1999,0000020,350,N,N,1831,1837,,1,BEN,22,31,,N,1,0,1,7,0,0,N,962,N MOLLEY ST.  & BENNI,68007
0,NE,01001,4,08,1999,0000021,571,N,N,1314,1314,,1,BEN,92,,,N,0,0,2,3,0,0,N,UUU,15509 WAREHOUSE ST,68007
0,NE,01001,4,11,1999,0000022,150,N,N,2310,2315,,,,11,,,N,0,0,0,0,0,0,N,162,15408 S S 2ND ST,68007
0,NE,01001,4,17,1999,0000024,300,N,N,1752,1802,,1,RFD,22,31,,N,0,0,2,7,0,0,N,419,10311 N 187TH AVE,68007
0,NE,01001,4,17,1999,0000025,300,N,N,1948,1952,,1,BEN,34,,,N,0,0,1,2,0,0,N,429,15652 N 4TH ST,68007
0,NE,01001,4,18,1999,0000026,300,N,N,1416,1426,,1,RFD,34,,,N,0,0,2,4,0,0,N,419,10630 BRUHN AVE,68007
0,NE,01001,4,21,1999,0000027,150,N,N,2343,2347,,,,11,,,N,0,0,0,0,0,0,N,900,11717 N 126TH ST,68007
0,NE,01001,5,02,1999,0000030,410,N,N,1415,1418,,1,BEN,41,,,N,0,0,2,3,0,0,N,571,15625 C. W. HADAN DR,68007
0,NE,01001,5,03,1999,0000031,641,N,N,1627,1632,,1,RFD,86,,,N,1,0,2,11,0,0,N,419,16006 N 2ND ST,68007
0,NE,01001,5,04,1999,0000032,300,N,N,1640,1644,,1,BEN,34,,,N,0,0,2,4,0,0,N,419,103 S STARK ST.,68007
0,NE,01001,5,13,1999,0000033,130,N,N,0914,0922,,1,RFD,86,,,N,1,0,2,8,0,0,N,961,12800 CENNTENIAL ROAD,68007
0,NE,01001,5,28,1999,0000035,140,N,N,1150,1156,,,,11,,,N,0,0,0,0,0,0,N,419,10141 N 186TH AVE,68007
0,NE,01001,5,30,1999,0000036,130,N,N,1755,1803,,1,RFD,86,,,N,2,0,3,14,0,0,N,961,14000 BLAIR HIGH ROAD,68007
0,NE,01001,6,01,1999,0000034,300,N,N,1933,1933,,1,BEN,34,,,N,0,0,1,2,0,0,N,419,446 N MOLLEY ST.,68007
0,NE,01001,6,04,1999,0000037,641,N,N,1304,1312,,1,BEN,86,,,N,1,0,2,5,0,0,N,429,207 N STARK ST.,68007
0,NE,01001,6,05,1999,0000038,130,N,N,1538,1543,,1,RFD,86,,,N,1,0,2,10,0,0,N,961,N 126TH ST  & CENNTEN,68007
0,NE,01001,6,12,1999,0000039,300,N,N,0643,0651,,1,BEN,22,31,,N,0,0,2,4,0,0,N,429,15652 N N 4TH ST,68007
0,NE,01001,6,23,1999,0000040,300,N,1,1930,1937,,1,RFD,34,,,N,1,0,0,6,0,0,N,962,13600 FORT ST,68116
0,NE,01001,6,25,1999,0000041,350,N,N,1630,1641,,1,RFD,22,31,,N,1,0,0,3,0,0,N,961,N 156TH ST.  & HIGHWA,68007
0,NE,01001,6,27,1999,0000042,641,N,N,0507,0517,,1,RFD,86,,,N,1,0,1,8,0,0,N,419,8989 N 138TH ST,68007
0,NE,01001,6,27,1999,0000043,110,N,1,0526,0529,,1,RFD,86,,,N,1,0,2,11,0,0,N,419,8901 N 138TH ST,68142
0,NE,01001,7,04,1999,0000045,140,N,1,1852,1859,,,,11,,,N,0,0,0,0,0,0,N,931,16510 STATE ST,68007
0,NE,01001,7,16,1999,0000047,300,N,N,1010,1015,,1,BEN,34,,,N,0,0,1,3,0,0,N,419,117 S MOLLEY ST.,68007
0,NE,01001,7,29,1999,0000048,300,N,N,0937,0941,,1,RFD,34,,,N,0,0,1,2,0,0,N,130,14205 IDA ST.,68142
0,NE,01001,8,06,1999,0000049,350,N,N,1013,1018,,1,RFD,22,31,,N,1,0,1,4,0,0,N,962,9000 N 156TH ST.,68007
0,NE,01001,8,07,1999,0000050,300,N,N,1522,1526,,1,BEN,34,,,N,0,0,1,2,0,0,N,419,118 N STARK ST.,68007
0,NE,01001,8,09,1999,0000051,300,N,N,2303,2307,,1,BEN,34,,,N,0,0,1,2,0,0,N,419,325 N STARK ST.,68007
0,NE,01001,8,25,1999,0000052,641,N,N,1107,1112,,1,RFD,00,,,N,0,0,1,2,0,0,N,419,7150 N 156TH ST.,68007
0,NE,01001,9,02,1999,0000053,350,N,1,0614,0623,,1,RFD,22,31,,N,1,0,3,15,0,0,N,961,BLAIR HIGH ROAD  & BE,68007
0,NE,01001,9,02,1999,0000054,110,N,1,2228,2237,,1,RFD,11,,,N,1,0,2,17,0,0,N,819,2302 CR31  (WASH COUN,68007
0,NE,01001,9,08,1999,0000055,300,N,1,1047,1052,,1,RFD,22,31,,N,1,0,0,7,0,0,N,961,BLAIR HIGH ROAD  & BE,68007
0,NE,01001,9,23,1999,0000056,410,N,N,2304,2308,,1,RFD,41,,,N,1,0,3,12,0,0,N,962,N 156TH ST.  & BENNIN,68007
0,NE,01001,9,24,1999,0000057,140,N,N,2201,2206,,,,86,,,N,0,0,0,0,0,0,N,900,11229 N 132ND ST,68007
0,NE,01001,9,25,1999,0000058,300,N,N,1627,1629,,1,BEN,34,,,N,0,0,2,4,0,0,N,419,15779 N 2ND ST,68007
0,NE,01001,10,06,1999,0000059,730,N,N,1158,1201,,1,BEN,86,,,N,0,0,2,5,0,0,N,639,156TH ST.  & WAREHOUS,68007
0,NE,01001,10,12,1999,0000060,140,N,N,1241,1247,,,,11,,,N,0,0,0,0,0,0,N,961,17000 PAWNEE ROAD,68007
0,NE,01001,10,12,1999,0000061,140,N,N,1657,1706,,,,11,,,N,0,0,0,0,0,0,N,931,11101 PAWNEE ROAD,68142
0,NE,01001,10,27,1999,0000064,300,N,N,0333,0346,,1,RFD,22,31,,N,0,0,2,3,0,0,N,419,1707 CR35  (WASH COUN,68007
0,NE,01001,10,30,1999,0000066,150,N,N,2128,2134,,,,11,,,N,0,0,0,0,0,0,N,931,14315 N 216TH ST.,68007
0,NE,01001,11,02,1999,0000071,300,N,N,2048,2059,,1,RFD,34,,,N,0,0,1,2,0,0,N,419,14024 BLAIR HIGH ROAD,68142
0,NE,01001,11,04,1999,0000068,150,N,N,0747,0751,,,,11,,,N,0,0,0,0,0,0,N,931,11707 N 126TH ST,68142
0,NE,01001,11,06,1999,0000072,300,N,N,2120,2124,,1,BEN,34,,,N,0,0,1,2,0,0,N,419,306 N STARK ST.,68007
0,NE,01001,11,12,1999,0000073,130,N,1,2011,2016,,1,RFD,11,,,N,1,0,2,8,0,0,N,962,18400 RAINWOOD RD,68007
0,NE,01001,11,13,1999,0000074,350,N,1,1154,1204,,1,RFD,22,31,,N,0,0,1,2,0,0,N,961,BLAIR HIGH ROAD  & BE,68007
0,NE,01001,11,13,1999,0000075,410,N,N,2052,2059,,1,RFD,41,,,N,0,0,3,8,0,0,N,962,N 156TH ST.  & MILITA,68007
0,NE,01001,11,18,1999,0000076,140,N,N,1325,1334,,,,11,,,N,0,0,0,0,0,0,N,962,6100 N 156TH ST.,68007
0,NE,01001,11,24,1999,0000077,300,N,N,0848,0853,,1,RFD,22,31,,N,0,0,0,2,0,0,N,419,1297 CR 25 (WASHINGTO,68068
0,NE,01001,12,04,1999,0000081,140,N,N,1042,1047,,,,11,,,N,0,0,0,0,0,0,N,900,13333 BENNINGTON ROAD,68007
0,NE,01001,12,05,1999,0000080,300,N,N,0008,0014,,1,RFD,34,,,N,0,0,1,2,0,0,N,419,10621 EARL CIR,68007
0,NE,01001,12,09,1999,0000082,150,N,N,2145,2150,,,,11,,,N,0,0,0,0,0,0,N,919,14320 N 216TH ST.,68007
0,NE,01001,12,14,1999,0000083,140,N,N,1038,1043,,,,86,,,N,0,0,0,0,0,0,N,961,19000 PAWNEE ROAD,68007
0,NE,01002,1,01,1999,0000001,320,N,N,0010,0013,B,,900,34,,,N,0,0,1,8,0,0,N,215,122 HEROES BLVD,68010
0,NE,01002,1,01,1999,0000003,740,N,N,0446,0456,B,,900,86,,,N,2,0,1,10,0,0,N,599,13603 FLANAGAN BLVD,68010
0,NE,01002,1,01,1999,0990001,110,N,1,0012,0020,,1,900,11,,,N,1,0,0,1,0,0,N,419,000000,68154
0,NE,01002,1,03,1999,0000012,320,N,N,0001,0004,C,,900,34,,,N,1,0,1,8,0,0,N,449,13971 FLANAGAN #201,68010
0,NE,01002,1,03,1999,0000019,320,N,N,0001,0001,B,,900,34,,,N,1,0,1,10,0,0,N,459,14135 WALSH DRIVE,68010
0,NE,01002,1,04,1999,0000023,740,N,N,0819,0821,A,,900,86,,,N,1,0,0,7,0,0,N,213,14124 NORTON DRIVE,68010
0,NE,01002,1,04,1999,0000029,320,N,N,2119,2121,B,,900,34,,,N,0,0,1,10,0,0,N,459,14141 WALSH DR,68010
0,NE,01002,1,04,1999,0000031,740,N,1,2337,2341,C,,900,86,,,N,3,0,0,12,0,0,N,459,102 MAHER DRIVE,68010
0,NE,01002,1,05,1999,0000113,110,N,N,1155,1159,B,,900,86,,,N,1,0,0,9,0,0,N,419,14602 GIANELLI CIRCLE,68010
0,NE,01002,1,05,1999,0002037,740,N,N,1300,1302,A,,900,86,,,N,1,0,0,8,0,0,N,215,122 HEROES BLVD,68010
0,NE,01002,1,10,1999,0000068,410,N,N,1315,1319,B,,900,41,,,N,2,0,2,13,0,0,N,459,305 SUDYKA DRIVE,68010
0,NE,01002,1,10,1999,0000073,730,N,N,0001,0001,B,,900,86,,,N,1,0,0,9,0,0,N,419,14602 GIANELLI CIRCLE,68010
0,NE,01002,1,11,1999,0000076,320,N,N,0001,0001,A,,900,91,,,N,0,0,1,9,0,0,N,639,13943 GUTOWSKI RD,68010
0,NE,01002,1,11,1999,0000077,320,N,N,0001,0001,A,,900,91,,,N,0,0,1,9,0,0,N,639,13943 GUTOWSKI RD,68010
0,NE,01002,1,11,1999,0000082,320,N,N,2015,2024,C,,900,34,,,N,1,0,1,9,0,0,N,639,13943 GUTOWSKI RD,68010
0,NE,01002,1,16,1999,0000118,730,N,N,0925,0929,B,,900,86,,,N,2,0,0,9,0,0,N,459,102 MAHER DRIVE,68010
0,NE,01002,1,20,1999,0000139,740,N,N,0637,0645,C,,900,86,,,N,1,0,0,6,0,0,N,459,344 DOYLE DRIVE,68010
0,NE,01002,1,26,1999,0000169,740,N,N,1658,1701,B,,900,86,,,N,1,0,0,9,0,0,N,459,14141 WALSH DRIVE,68010
0,NE,01002,1,26,1999,0000173,320,N,N,2105,2108,A,,900,34,,,N,0,0,1,10,0,0,N,449,13971 FLANAGAN #102,68010
0,NE,01002,1,30,1999,0000186,320,N,N,1724,1730,A,,900,34,,,N,0,0,1,9,0,0,N,419,14612 GUTOWSKI CIRCLE,68010
0,NE,01002,1,31,1999,0000188,740,N,N,1221,1226,C,,900,86,,,N,2,0,0,10,0,0,N,449,13963 FLANAGAN BLVD,68010
